Name,PrizeMoney,DrivingAccuracy ,GIR,PuttingAverage,BirdieConversion,PuttsPerRound
Tjaart van der Walt,11187,69.69,64.52,1.808,25.45,29.42
Todd Fischer,11309,64.83,62.23,1.744,29.27,28.59
Todd Hamilton,6117,56.32,56.87,1.792,27.38,29.01
Tom Lehman,84604,60.96,65.93,1.827,24.37,30.08
"Tom Pernice, Jr.",72623,65.28,64.53,1.756,31.7,28.88
Tommy Armour III,14098,66.74,63.76,1.752,29.97,29.08
Trevor Immelman,160175,62.08,69.06,1.771,30.06,29.26
Troy Matteson,55581,59.45,66.34,1.803,28.12,29.52
Vance Veazey,10354,57.58,61.58,1.752,30.02,28.93
Vaughn Taylor,68613,63.31,64.08,1.725,34.26,28.67
Vijay Singh,170460,59.4,67.83,1.753,31.77,28.89
"Wes Short, Jr.",12803,57.78,64.18,1.782,30.56,29.7
Will MacKenzie,30344,62.91,67.99,1.809,28.65,29.97
Woody Austin,38043,61.11,62.67,1.773,30.49,28.72
Zach Johnson,90824,69.63,66.86,1.774,26.94,29.32
